cell,lookback,units,val_MAE,val_RMSE,val_MAPE,epochs_run,n_params,train_time_s
LSTM,12,128,62.2966,91.8476,15.2107,40,66689,22.2481
LSTM,12,64,64.4125,92.2696,17.4365,40,16961,14.3154
LSTM,72,128,67.0481,96.7435,17.6851,35,66689,89.2838
LSTM,288,64,66.9618,98.6688,15.3470,38,16961,205.8770
LSTM,144,128,69.6537,100.0454,18.4036,31,66689,178.1534
LSTM,288,128,72.5609,100.1292,22.0142,39,66689,425.6551
LSTM,72,64,75.9582,105.2123,22.6516,28,16961,37.7854
LSTM,144,64,81.7598,107.6597,28.8913,33,16961,83.0355
LSTM,144,32,84.2418,111.8780,27.7988,40,4385,71.7150
LSTM,288,32,85.3412,113.4040,25.8694,33,4385,127.2225
LSTM,12,32,84.8229,113.9698,28.4597,22,4385,6.4079
LSTM,72,32,94.1909,122.4235,33.2037,24,4385,22.4439
